Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
Buffalo Urban League,15 Geneesee St,,Buffalo,14203,buffalourbanleague.org,Brenda McDuffie,716-250-2400,bmcduffie@buffalourbanleague.org,Youth Engagement Services,"The YES program focuses on in-school “at-risk” youth, ages 14-20, which reside in the City of Buffalo, attend Buffalo Public Schools and are Temporary Assistance for Needy Families (TANF) eligible. “At-Risk” refers to youth who are underachieving and are potential dropouts or need extra support due to environment, economic, personal or family circumstances. 

The services provided to youth by the YES program include academic support to ensure that youth receive education, social development and life skills so that they are equipped for economic self-reliance and citizenship, and career exploration to help guide students along the pathway to their desired career.",1,555 Ellicott St,,Buffalo,14203,CJ Banks,716-645-1967,cjbanks@buffalourbanleague.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Juvenile Diversion (Crime Intervention), Leadership/ Mentorship, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development, Entreprnuership","Monday, Tuesday, Wednesday, Thursday, Friday",Monday Through Friday: 3pm to 6pm,"School Year, Summer, School Breaks","In-school “at-risk” youth, ages 14-21, which reside in the City of Buffalo, attend Buffalo Public Schools and are Temporary Assistance for Needy Families (TANF) eligible.",60,"9th, 10th, 11th, 12th",Not Applicable,No Fees,"To the program, Home from the program, We provide tokens or NFTA flash passes","Lunch, Snack, Lunch during summer programming","Last year, we celebrated a 100% success rate in graduation and/or promoted to the next grade."
COMMUNITY ACTION ORGANIZATION OF ERIE COUNTY,70 HARVARD PL,,BUFFALO,14209,WWW.CAOEC.ORG,L. NATHAN HARE,716-881-5150,LHARE@CAOEC.ORG,NURTURE ACADEMY,"N.U.R.T.U.R.E. Academy is an afterschool program offered @ 4 locations through out Erie county for low-income at-risk school age youth. This afterschool program is highly interactive and focus on homework help, academic enrichment, character building, physical development,and life skills just to name a few. Programs run Monday-Friday from 2:30pm until 6:30pm following buffalo public school schedule. ",4,2777 Bailey Ave ,,BUFFALO,14215,ANDREW ELLIS,716-332-4380,AELLIS@CAOEC.ORG,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",2:30PM-6:30PM,School Year,5-13 GRADES K-8TH,50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),,We do not provide transportation,"Dinner, Snack",
COMMUNITY ACTION ORGANIZATION OF ERIE COUNTY,70 HARVARD PL,,BUFFALO,14209,WWW.CAOEC.ORG,L.NATHAN HARE,716-881-5150,LHARE@CAOEC.ORG,N.U.R.T.U.R.E. ACADEMY,"N.U.R.T.U.R.E. Academy is an afterschool program offered @ 4 locations through out Erie county for low-income at-risk school age youth. This afterschool program is highly interactive and focus on homework help, academic enrichment, character building, physical development,and life skills just to name a few. Programs run Monday-Friday from 2:30pm until 6:30pm following buffalo public school schedule. ",4,251 N. MAIN ST,,ANGOLA ,14006,ANN MARIE GOSS,716-549-4180,AGOSS@CAOEC.ORG,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",2:30PM-6:30PM,School Year,5-13 ,50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),,We do not provide transportation,"Dinner, Snack",
COMMUNITY ACTION ORGANIZATION,70 HARVARD PL,,BUFFALO,14209,WWW.CAOEC.ORG,L.NATHAN HARE,716-881-5150,LHARE@CAOEC.ORG,N.U.R.T.U.R.E. ACADEMY,"N.U.R.T.U.R.E. Academy is an afterschool program offered @ 4 locations through out Erie county for low-income at-risk school age youth. This afterschool program is highly interactive and focus on homework help, academic enrichment, character building, physical development,and life skills just to name a few. Programs run Monday-Friday from 2:30pm until 6:30pm following buffalo public school schedule. ",4,422 PRATT ST,,BUFFALO,14204,BRITTANY WASHINGTON,716-852-1671,BWASHINGTON@CAOEC.ORG,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,5-13,50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),,We do not provide transportation,"Dinner, Snack",
COMMUNITY ACTION ORGANIZATION,70 HARVARD PL,,BUFFALO,14209,WWW.CAOEC.ORG,L.NATHAN HARE  ,716-881-5150,LHARE@CAOEC.ORG,4,"N.U.R.T.U.R.E. Academy is an afterschool program offered @ 4 locations through out Erie county for low-income at-risk school age youth. This afterschool program is highly interactive and focus on homework help, academic enrichment, character building, physical development,and life skills just to name a few. Programs run Monday-Friday from 2:30pm until 6:30pm following buffalo public school schedule. ",4,114 HICKORY ST,,BUFFALO,14204,JOANNA JOHNSON,716-332-4554,JJOHNSON@CAOEC.ORG,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",2:30PM-6:30PM ,School Year,5-13 ,50,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),,We do not provide transportation,"Dinner, Snack",
Depew-Lancaster Boys & Girls Club,5440 Broadway ,,Lancaster,14086,www.dlbgc.org,David Hoch,716-683-1485,Dhoch1115@aol.com,Power Hour,Power Hour is a after-school homework help and tutoring program. We provide homework assistance and tutoring for all of our Club Members.,1,60 Preston Street,,Depew,14043,Lisa Konst,716-683-5266,lak61@yahoo.com,"Academic Support/ Homework Help, College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Leadership/ Mentorship, Sports/ Recreation/ Fitness","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon.-Thurs. 1:00pm-8:00pm
Fri. 1:00pm-6:00pm
Sat. 11:00am-3:00pm",School Year,7yrs-19yrs Membership Requirement,15-20,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",Not Applicable,Program Fees/Membership Fees are 7-19yr olds $20.00 for the year. College Age $60.00 for the year. Alumni $75.00 for the year. ,"We do not provide transportation, School Bus After-School Only","Snack, No meals provided",
Elim Community Corporation,70 Chalmers Avenue,P.O. Box 656 ,Buffalo,14240,,Sheila Wallace,716-832-7698 ext 200,Elimccorp @gmail.com,Elim Academic Enrichment Program,"Elim Community Corporation runs out of school time programs in the summer and after school. Programs provides a safe place for children to go with nurturing staff who tutor and /or instruct to fill gaps in education and provide life skills. Additional components provide arts, computer, nutrition and gardening, and physical activities.  ",1,70 Chalmers Avenue,,Buffalo,14214,Sheila Wallace,716-832-7698 ext. 200,ElimCcorp@gmail.com,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Leadership/ Mentorship","Monday, Tuesday, Wednesday, Thursday, Friday","Summer 8:30am - 4:00pm (extended hours before and after available) - 6 -10 weeks 

After school - 3:00pm - 6:00pm BPS schedule","School Year, Summer","M,F, 6-18yrs.",100,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th","Not Applicable, Erie County Health Dept.","Summer - fees income based $5.00 - $50.00 weekly
Afterschool drop in program - no fee",We do not provide transportation,"Breakfast, Lunch, Snack","Summer - Breakfast & Lunch, Buffalo Public Schools Free Lunch Program Site

Afterschool Drop in program - snacks provided"
University District Community Development Association,3242 Main Street,,Buffalo,14214,www.udcda.org,Michael Tritto Jr.,716-832-5085,m.tritto@udcda.org,Gloria J Parks Community center 21st Century Community Learning Centers,"We currently offer one hundred and seventy-five unduplicated children in grades 1 to 8 a multi-faceted, data-based Twenty-First Century Community Learning Center Youth Program aligned with NYS Common Core Standards for both after school and summer.  During the school year we offer homework help, academic instruction, and recreational enrichment in the arts, athletics, character development, social skill learning, health, and college and career readiness from 2:30 to 6:00 p.m. weekdays; and during July and August we offer academic enrichment, arts, Science, Technology, Engineering, Math (STEM), character development, and athletics forty hours a week for seven weeks. ",1,Gloria J. Parks Community Center,3242 Main Street,Buffalo,14214,Michael Tritto Jr.,716-832-5085,m.tritto@udcda.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Computers/ Technology, Health/ Nutrition, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development, Parent Enrichment","Monday, Tuesday, Wednesday, Thursday, Friday","2:30 p.m. - 6:00 p.m., Monday - Friday, October 1 to First week of June.

8:30 a.m. - 4:30 p.m., Monday to Friday July - August

9:00a.m. - 5:00 p.m. February and April School Breaks","School Year, Summer, School Breaks",,85 seats daily,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),"No fees.

",We do not provide transportation,Snack,We are interested in forging new partnerships and welcome referrals of potential program partners.
"Seneca-Babcock Community Association, Inc.",1168 Seneca Street,,Buffalo,14210,www.senecababcock.com,Brian Pilarski,716-822-5094,brian@senecababcock.com,"""Prime Time"" After School Program","The Seneca-Babcock Community Association's ""Prime Time"" After School Program meets the needs of the youth living in poverty, in unsafe family and community circumstances, and/or at high risk for academic failure in the Seneca-Babcock Community.  The Seneca-Babcock Community Association's ""Prime Time"" After School Program is an education program designed to engage young people in learning, encourage them to succeed in school, and help them become lifelong learners. The comprehensive program includes expanded afterschool and out of school time learning/enrichment opportunities.  The greater part of the activities in the Seneca-Babcock Community Association's ""Prime Time"" After School Program are based on NYS Learning Standards and include homework help, physical activity, nutrition classes, art classes, science classes, mentoring, recreation, Boy and Girl Scouts, family functions, and field trips.  Youth are exposed to new experiences and knowledge that they otherwise would not have the opportunity to experience.",1,1168 Seneca Street,,Buffalo,14210,Brian Pilarski,716-822-5094,brian@senecababcock.com,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, Health/ Nutrition, Juvenile Diversion (Crime Intervention), Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2:30pm to 9:00pm,"School Year, Summer",6yrs and Older,300,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",Not Applicable,None,We do not provide transportation,"Lunch, Dinner, Snack",
Research Foundation of SUNY on behalf of UB Liberty Partnerships Program,3435 Main Street,1 Diefendorf Annex,Buffalo,14214,ublibertypartnerships.org,Dr. Ramone Alexander,716-829-5678,liberty@buffalo.edu,UB Liberty Partnerships Program,"Culturally competent counseling provided to middle and high school students in-school, after-school and during the summer in the areas of career, college readiness, emotional/personal and social/cultural and academic.  ",4,3435 Main Street ,1 Diefendorf Annex,Buffalo ,14214,Michelle Jones,716-829-3191,liberty@buffalo.edu,"College/ Career Readiness, Leadership/ Mentorship, Sports/ Recreation/ Fitness","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8:30am - 5:00pm Monday through Friday.

","School Year, Summer",grades 5 - 12 ,50,"5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",Not Applicable,,"To the program, Home from the program",Snack,
Mt. St. Mary's Hospital,5310 Military Road,,,14092,msmh.org,,716-297-4800,n/a,Mt. St. Mary's Child Care,"""A Safe, Happy and Healthy Place for Children to Play, Learn and Grow""",1,5310 Military Rd,,Lewiston,14092,,716-297-8759,n/a,"Academic Support/ Homework Help, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6:45am to 6:00pm,"School Year, Summer, School Breaks",6 weeks to 12 years,67,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th","Day Care, Licensed by Department of Social Services office of Children and Families",Cost of enrollment varies depending on age of child and when child is enrolled. Please call for more information!,We do not provide transportation,"Breakfast, Lunch, Snack",Half days and full days available
Family Help Center,60 Dingens Street,,Buffalo,14206,http://www.joanamale.org/,,716-822-0919,info@familyhelpcenter.net,Family Help Center Daycare,"A full service daycare center licensed by the New York State Office of Children and Family Services to serve children 6 weeks to 12 years of age. The Children’s Center for Success has come together to create a trauma informed model of care that works very effectively with children with challenging behavior, sometimes the result of chronic high stress experienced by the child and family. It’s also great at building the self confidence and getting-along skills of any child. Every child care staff member is trained in Teacher-Child Interaction Training (TCIT) which is a companion to the evidenced based Parent-Child Interactive Therapy (PCIT). These approaches result in quick, positive turnarounds in a child’s behavior, taking on behaviors from disruptive to withdrawn. The outcomes are children with a brighter and much more successful start to school and life. In addition to offering quality care from a core of experienced staff, parents can also tap the Program’s Site Coordinator and Family Advocate to help them access and coordinate all their families’ social, emotional, physical and educational needs.",1,60 Dingens St,,Buffalo,14206,,716-822-0919,info@familyhelpcenter.net,"Academic Support/ Homework Help, Mental Health/ Social Development, Encouraging positive behavior","Monday, Tuesday, Wednesday, Thursday, Friday",7am to 5pm,"School Year, Summer, School Breaks",,,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,Fees vary; please call for more details!,We do not provide transportation,"Breakfast, Lunch",
Community Services for the Developmentally Disabled,180 Oak St,,Buffalo,14203,www.csdd.net,,716-883-8888,admissions@csdd.net,After-School Respite,"Our after-school program is open to all school age children in need of after school respite. ""Stay Late"" provides meaningful recreational and social opportunities for your child throughout the school year.  We offer programs that are designed to meet the special learning needs of students who have developmental disabilities. ",2,2180 Genesee St,,Buffalo,14211,,716-896-2180,admissions@csdd.net,"Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm-6pm,"School Year, Summer, School Breaks","HCBS Waiver Enrolled, proof of mental disability ",,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School, Ages 5-22",,No fees,We do not provide transportation,Snack,
Community Services for the Developmentally Disabled,180 Oak St,,Buffalo,14203,www.csdd.net,,716-883-8888,admissions@csdd.net,After-School Respite,"Our after-school program is open to all school age children in need of after school respite. ""Stay Late"" provides meaningful recreational and social opportunities for your child throughout the school year.  We offer programs that are designed to meet the special learning needs of students who have developmental disabilities. ",2,4760 Seneca St,,West Seneca,14224,,(716) 677-3300,admissions@csdd.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2pm to 6pm,"School Year, Summer, School Breaks","HCBS Waiver Enrolled, proof of mental disability ",,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",,No fees,We do not provide transportation,Snack,
Community Services for the Developmentally Disabled,180 Oak St,,Buffalo,14203,www.csdd.net,,716-883-8888,admissions@csdd.net,Saturday Respite,"Parents love our Saturday Respite Programs! If you are looking for a recreational and social experience for your child age 5+ in a safe and convenient setting, you can take advantage of this program to get out on a Saturday to get things done or enjoy time for you! ",2,2180 Genesee St,,Buffalo,14211,,716-896-2180,admissions@csdd.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, Mental Health/ Social Development",Saturday,,"School Year, Summer, School Breaks","HCBS Waiver Enrolled, proof of mental disability ",,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, Older Youth/ Out of School",,No fees,We do not provide transportation,"Breakfast, Lunch, Snack",Alternating Satudays
Community Services for the Developmentally Disabled,180 Oak St,,Buffalo,14203,www.csdd.net,,716-883-8888,admissions@csdd.net,Saturday Respite,"Parents love our Saturday Respite Programs! If you are looking for a recreational and social experience for your child age 5+ in a safe and convenient setting, you can take advantage of this program to get out on a Saturday to get things done or enjoy time for you! ",2,4760 Seneca St,,West Seneca,14224,,(716) 677-3300,admissions@csdd.net,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, Mental Health/ Social Development",Saturday,,"School Year, Summer, School Breaks","HCBS Waiver Enrolled, proof of mental disability ",,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,No fees,We do not provide transportation,"Breakfast, Lunch, Snack",Alternating Saturdays
Kidco Computers for Children,701 Seneca St.,Suite 601,Buffalo,14210,http://cfcbuffalo.org/,,716-823-7248 ,n/a,KidCo: Computers for Children,"Through creative education, kids learn all the computer literacy basics they need to thrive both in school and the workplace by increasing skills and capacity in computer use and refurbishing techniques.   

Under the supervision and instruction of a Technical trainer, students learn how to build and refurbish donated corporate computers into refreshed systems ready to be used.",1,701 Seneca St,,Buffalo,14210,,716-823-7248,n/a,Computers/ Technology,,,"School Year, Summer",,,"8th, 9th, 10th, 11th, 12th",,,,,Please visit computersforchildren.com to find a program near you!
Peace of the City,301 14th St,,Buffalo,14213,peaceofthecity.org,Diann Takens,716-828-8683, dtakens@peaceofthecity.org,Homework Club,"After 20 years of tried-and-true after-school programming, Homework Club still stands as an intimate, safe learning environment where children, ages 6-12, are welcomed by name Monday-Thursday afternoons.   During Homework Club hours, our children are helped with homework, encouraged through creative enrichment, play board games,  eat a nutritious snack and learn about life and God. We create a beautiful, safe and nurturing environment in which children are free to be kids.  Academic support and literacy intervention are key to empowering our children. And every day in every moment, our staff is motivated to help our children engage themselves, each other, God and His amazing love in healthy and creative ways.",1,301 14th St,,Buffalo,14213,,(716) 828-8683,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Computers/ Technology, Health/ Nutrition, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",2:45-5:45,"School Year, Summer",Ages 6-12,,"1st, 2nd, 3rd, 4th, 5th, 6th",,We have very flexible rates to give everyone the opportunity to join!,"We do not provide transportation, We are building the capacity to provide transportation",Snack,
"FILLMORE LEROY AREA RESIDENTS, INC.",307 Leroy Avenue,,Buffalo,14214,http://www.flarecenter.org/,,716-838-6740    ,n/a, Flare's After School Program,"Youth participate in a ten-month program concurrent with the Buffalo Public School year calendar. The program is designed to encourage and promote educational attainment, cultural diversity, peaceful alternatives to violence, creative problem solving, and recreation. Homework assistance, as well as instruction in math and reading is offered. ",1,307 Leroy Avenue,,Buffalo,14214,,(716) 838-6740,n/a,"Academic Support/ Homework Help, Community Service/ Service Learning, Computers/ Technology, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday",2:30pm to 6:00pm,School Year,Ages 5-15,40,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th",,,,,
Child Care Center Inc.,500 Kenmore Avenue,,Buffalo,14223,ripenwithus.org,,716-836-1014,ripen500@verizon.net,Camp Ripen,"Our Summer Camp Program is for children that have finished Kindergarten (age 5) through 6th Grade* (age 12).  The campers are grouped by their grade or age into three (3) groups.  We serve breakfast, lunch (unless otherwise specified) and an afternoon snack.  We are a Peanut and Tree Nut Free Facility and will adjust our menu for other dietary and food allergies with proper medical forms.
We plan field trips scheduled to various local places and swim every day at Brighton or Lincoln Pool.  Each camper will receive an official Camp Ripen designed+ field trip t-shirt to wear for the summer on all field trips.  The campers are completely active and engaged with various experiences and responsibilities to become more social and independent.  We schedule nature walks, team building sport games, creative arts and crafts with open ended guidance as well, structured time and siesta time to let them just hang out.
Our experienced staff is CPR and First Aid Trained, plus our facility can administer medications that are either prescribed or over-the counter.
",1,500 Kenmore Ave,,Buffalo,14223,,716-836-1014,ripen500@verizon.net,"Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, Mental Health/ Social Development, team building, creative arts",,,Summer,ages 5-12,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,"$25.00 Activity Fee per child
$190.00 per week or $50.00 per day with a Minimum of 2 days/2 weeks of enrollment allowed.

-Field Trip Fees are paid separately prior to the date of the scheduled field trip.

-Daily Swim Pass Fee is REQUIRED:
	$20.00 for Ken-Ton Resident
	$39.00 for Non-Resident
	OR You may purchase the pass on your own.

Each camper is given one (1) field trip t-shirt upon registration.
Extra t-shirts may be purchased for $12.00 each. 
",,"Breakfast, Lunch, Snack",
Buffalo Urban League,15 Genesee Street,,Buffalo,14203,buffalourbanleague.org,,716-250-2400,n/a,Youth Engagement Services,"The YES program focuses on in-school “at-risk” youth, ages 14-21, which reside in the City of Buffalo, attend Buffalo Public Schools and are Temporary Assistance for Needy Families (TANF) eligible. “At-Risk” refers to youth who are underachieving and are potential dropouts or need extra support due to environment, economic, personal or family circumstances. The services provided to youth by the YES program include academic support to ensure that youth receive education, social development and life skills so that they are equipped for economic self-reliance and citizenship, and career exploration to help guide students along the pathway to their desired career.",1,465 Washington St,,Buffalo,14203,C.J. Banks,716-645-1967,cjbanks@buffalourbanleague.org,"Academic Support/ Homework Help, College/ Career Readiness, Community Service/ Service Learning, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday",3pm to 6pm,School Year,Ages 14-21,,"9th, 10th, 11th, 12th, Older Youth/ Out of School",,No fees,"To the program, Home from the program","No meals provided, No meals provided currently, though this is subject to change",
Mt. St. Mary's Day Care Inc.,855 Englewood Avenue,,Tonawanda,14223,http://msmdaycare.org/,,716-877-3464,n/a,Before and After School Care,"Quiet activities & homework time, Snack, Arts & Crafts, Outdoor Play (weather permitted), Free Play.",1,855 Englewood Avenue,,Tonawanda ,14223,,716-877-3464,N/a,"Academic Support/ Homework Help, Computers/ Technology, Sports/ Recreation/ Fitness, Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday","6:30-8:45 before school
2:30-6:00 after school",School Year,Ages 18months to 12 years,,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,"Morning Session: 6:30 A.M- 12:30 P.M $35.00/day

Afternoon Session: 11:30 A.M- 6:00 P.M $35.00/day",,"Lunch, Snack",
YWCA Niagara,32 Cottage Street,,Lockport,14094,ywcaniagara.org,, 716-433-6714,n/a,Lockport Before and After School Programs for Intermediate Youth,"This before and after school program provides a safe place for intermediate school age students in the Lockport District. The programs offer homework assistance, recreation, arts & crafts and community service opportunities. This YWCA program is located at Emmet Belknap Intermediate School in the Lockport City School District; fees apply.",1,491 High Street,Emmet Belknap Middle School,Lockport,14094,,(716) 478-4550,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Sports/ Recreation/ Fitness, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",7:00am-8:35am and 2:55pm-6:00pm,School Year,,,"5th, 6th",,No fees for after-school program,We do not provide transportation,Snack,
YWCA Niagara, 32 Cottage Street,,Lockport,14094,ywcaniagara.org,,716-433-6714,n/a,Newfane After School Program for Middle School Youth,"This after school program provides a safe place for the middle school students. The programs offer homework assistance, recreation, arts & crafts and community service opportunities. Nutritional snacks are served daily. This YWCA program is located in Newfane Middle School in the Newfane Central School District",1,2700 Transit Road,Newfane Middle School,Newfane ,14108,,716-778-6452 ,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Sports/ Recreation/ Fitness, Mental Health/ Social Development, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",2:15 pm to 5:15pm,School Year,,,"5th, 6th, 7th, 8th",,No fees,,Snack,
Pilgrim St. Luke's United Church of Christ,335 Richmond Ave,,Buffalo,14222,pslucc.org,,716-885-9443,n/a,This Little Light  After-School Child Care with an emphasis on the ARTS!,"An After-School Program That Offers Experiences in the Arts!
This Little Light provides high quality care with a bonus: local artists come in for one or two 10-week sessions and teach weekly “hands-on” classes in drama, music, dance, and/or drumming. There is also an art teacher on the staff providing daily experiences in the visual arts. The program is committed to developing the “whole child” through the arts, and works to nurture the spiritual self within each child. The program is also committed to multiculturalism in every aspect, from staffing, to artists and art forms, and to the children enrolled. We explore the rich ethnic and cultural diversity of Buffalo’s West Side, and bring our children together with fun and cooperation.

Why Focus on the Arts?
Since our public schools cut the funds for art and music many years ago, children are not being exposed to these important areas of learning in any significant way. Studies have consistently shown that children who receive instruction in the arts perform better in many seemingly unrelated skills, from math, to interpersonal relations. The arts also provide an outlet for a child’s thoughts and feelings. There are no “wrong” answers. Learning new skills can provide children with positive experiences they may use for the rest of their lives. Finally, what better way to unite children from different backgrounds than through the fun of working together on projects of their own collective creation?",1,355 Richmond Ave,,Buffalo,14222,Tany Haynes,716-885-9443,n/a,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Sports/ Recreation/ Fitness, arts and crafts","Monday, Tuesday, Wednesday, Thursday, Friday",2:30 to 5:30,School Year,,30,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th",,"Comparable to other after-school programs. Call for us rates.
• Family rates are available.
• Limited part-time enrollment.

",Transportation is provided by the school,Snack,
Literacy West NY,5455 State Route 19 North,,Belmont,14813,http://www.litwest.org/,, 585-268-5213,n/a,PeerWORX® Work Experience,"PeerWORX® is a research based peer-tutoring program developed by Literacy West NY, Inc. to assist youth in achieving academic success.  Middle and high school students receive training on tutoring techniques and assist teachers in reinforcing school curriculum with elementary, middle and high school students in need of academic assistance.",1,355 Harlem Rd,,West Seneca,14224,,716-821-7000,n/a,"Academic Support/ Homework Help, English Language Learners (ELL), Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",Tutoring at 1 to 2 hours per day,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th",,,,No meals provided,
Jellybean Junction Child Care,400 Forest Ave,,Buffalo,14213,http://www.jellybeanjunctionccc.com/,,716-885-0465,n/a,Child Care,Child care for the employees of Buffalo Psychiatric Center and other State employees.,1,400 Forest Ave,,Buffalo,14213,,716-885-0465,n/a,Child care,"Monday, Tuesday, Wednesday, Thursday, Friday",7:15a.m. to 5:45p.m,School Year,,,"Day care age, Pre-K",,Weekly and bi-weekly rates available,,,
